,id,response,knowledge,Q2_no_nli,Q2
28,28, The speaker invites the listener to the party., The speaker visited the listener's home over the weekend and enjoyed the performance of the speaker's wife playing the violin.,0.0,0.0
29,29, The listener is excited to attend the party., The listener is happy to invite the speaker to his wedding anniversary party.,0.25,0.5
30,30, The speaker is planning to visit his grandmother in sanfield., The speaker had been sketching a picture of her grandma to gift her for many days.,0.0,0.0
31,31, The speaker shows the picture of his grandmother to the listener., The speaker handed over the picture to the listener.,0.25,0.25
32,32, The speaker shows the picture of his grandmother to the listener., The speaker handed over the picture to the listener.,0.25,0.25
33,33, The listener asked the speaker to put the picture that she drew for her grandmother in the box., The speaker was fond of sketching pictures since childhood.,0.0,0.0
34,34, The speaker puts the picture that she drew for her grandmother in the box., The speaker framed the sketch in a wooden frame and kept it in a box.,0.0,0.0
35,35, The speaker puts the picture in the box and leaves for his grandmother's house., The speaker framed the sketch in a wooden frame and kept it in a box.,0.25,0.25
36,36, The speaker's grandmother is fond of her artwork., The listener's grandma has seen the artwork of the listener.,0.0,0.0
37,37, The speaker prepares the cake for her grandmother., The listener suggested the speaker to reach the grandmother's house and make a cake without eggs.,0.38888888888888884,0.5555555555555555
38,38, The speaker prepares the cake for his grandmother., The listener suggested the speaker to reach the grandmother's house and make a cake without eggs.,0.38888888888888884,0.5555555555555555
39,39, The listener is excited to visit his grandmother., The speaker is regretful as she could not bake a cake for her grandma.,0.0,0.0
40,40, Linda has to meet professor smith at ten past two., The speaker takes the appointment with the professor at 2:00 clock,0.0,0.0
41,41, Linda has to meet professor smith at ten past two., The speaker wants to meet the professor seek guidance on the project and lessons,0.0,0.0
42,42, Linda and michael will discuss their project with professor smith., The speaker stated the listener to carry on with the project.,0.0,0.0
43,43, The speaker gets late for the office., The speaker stated the listener to carry on with the project.,0.0,0.0
44,44, Linda wants to go to the library., The speaker is eager to meet the professor to get the desired tips on the projects and lessons,0.0,0.0
45,45, Linda is a student of professor smith., The speaker has already booked an appointment with the professor at 2:10 pm,0.0,0.0
46,46, Linda and michael will discuss their project with professor smith., The speaker left the project discussion and he went to the library.,0.0,0.0
47,47, Linda and michael will discuss their project with professor smith., The speaker left the project discussion and he went to the library.,0.0,0.0
48,48, The speaker is excited to meet professor smith., The speaker is looking forward to meeting professor smith & wishes not to be late for the same.,1.0,1.0
49,49, The listener is excited to meet professor smith., The listener is hopeful of meeting professor smith.,0.5,0.5
50,50, The speaker wants to help the listener., The speaker is offering help to the listener.,1.0,1.0
51,51, The speaker went to the supermarket to buy some fruits., The customer is on a fruit diet and needs to buy some fruits for having breakfast.,0.0,0.0
52,52, The listener asks the speaker about the type of oranges he is looking for., The listener shows the speaker two varieties of oranges so that he can select between them.,0.25,0.25
53,53, The listener asks the speaker to bring some oranges for him., The listener shows the speaker two varieties of oranges so that he can select between them.,0.0,0.0
54,54, The speaker is craving for oranges., Oranges are speakers favourite fruits.,0.16666666666666666,1.0
55,55, The listener asked the speaker which type of oranges he wanted to buy., The listener was not able to differentiate between florida and california oranges.,0.3333333333333333,0.3333333333333333
56,56, The speaker asks the listener which type of oranges he prefers., The listener asked if there was any difference in price between the two.,0.0,0.0
57,57, The listener asks the speaker about the flavor of the oranges., The listener asked if there was any difference in price between the two.,0.0,0.0
58,58, The speaker is looking for some fruits to eat., The customer wants to taste california oranges as he has never tasted them before.,0.0,0.0
59,59, The listener gives five californian oranges to the speaker., The salesman packed five california oranges.,0.0,0.0
60,60, The listener gives the speaker five californian oranges., The salesman packed five california oranges.,0.0,0.0
61,61, The speaker is curious to know how the shop sells bananas., The customer is curious to know the price of bananas.,0.3333333333333333,0.3333333333333333
62,62, The listener asked the speaker about the cost of the bananas., The speaker found the price of bananas reasonable.,0.0,0.0
63,63, The speaker pays the requisite amount for the bananas., The salesman picked the bananas and weigh them.,0.0,0.0
64,64, The speaker pays the requisite amount for the bananas., The salesman picked the bananas and weigh them.,0.0,0.0
65,65, The listener inquired about the price of the bananas., The customer has ordered only a few bananas.,0.0,0.0
66,66, The listener buys four bananas for the speaker., The salesman packed the banana along with california oranges and gave it to the customer.,0.0,0.0
67,67, The listener buys four bananas for the speaker., The salesman packed the banana along with california oranges and gave it to the customer.,0.0,0.0
68,68, The speaker is curious to know the cost of the oranges., The customer is curious to know the total amount of the bill.,0.0,0.0
69,69, The listener is happy to help the customer., The speaker is satisfied with his fruit shopping.,0.0,0.0
70,70, The speaker has booked a flight to hong kong., The speaker has to go to hong kong to attend a business meeting.,0.6666666666666666,0.6666666666666666
71,71, The listener asks the speaker about the time of the flight to hong kong., The listener gets sad as he had to reach the destination for important meeting.,0.0,0.0
72,72, The listener asks the speaker about the time of the flight., The listener gets sad as he had to reach the destination for important meeting.,0.0,0.0
73,73, The first flight to hong kong is scheduled to leave at 8:15., The listener wants to book a morning flight.,0.0,0.0
74,74, The listener asks the speaker about the time of the first flight to hong kong., The listener requested the speaker to book a flight for the morning.,0.5,0.5
75,75, The listener asks the speaker about the time of the first flight to hong kong., The listener requested the speaker to book a flight for the morning.,0.5,0.5
76,76, The speaker is curious to know the time of the first flight to hong kong., The speaker is curious to know the timing of flight to reach hong kong.,0.5,0.5
77,77, The listener asked the speaker about the time of the first flight to hong kong., The speaker has received a warning for the next 48 hours of bad weather from the meteorological department.,0.0,0.0
78,78, The listener asks the speaker about the time of the first flight to hong kong., The listener would tell the secretary to wait at the airport until the flight arrives.,0.0,0.0
79,79, The listener asks the speaker about the time of the first flight to hong kong., The listener would tell the secretary to wait at the airport until the flight arrives.,0.0,0.0
80,80, The listener asked the speaker about the time of the flight to hong kong., The speaker don't want his secretary to wait in the airport for a long time and waste time.,0.0,0.0
81,81, The listener asks the speaker if there is any change on the flight to hong kong., The listener noted the speaker's phone number so that he can inform him in case of any delay.,0.6666666666666666,0.6666666666666666
82,82, The listener asks the speaker if there is any change in the flight timings., The listener noted the speaker's phone number so that he can inform him in case of any delay.,0.6666666666666666,0.6666666666666666
83,83, The speaker is curious to know if there is any change on the flight., The speaker is concerned about the changes in the flight timings.,0.8333333333333333,1.0
84,84, The listener is happy to help the speaker., The listener is happy to update about the change in details of the flight.,0.0,0.0
85,85, The speaker is not good at playing tennis., The speaker has never played table tennis.,0.8333333333333333,1.0
86,86, The speaker asks the listener if he knows how to play tennis., The listener assures the speaker to teach her to play tennis.,0.0,0.0
87,87, The speaker decides to play tennis for the first time., The listener assures the speaker to teach her to play tennis.,0.3333333333333333,0.3333333333333333
88,88, The speaker is interested in playing tennis., The speaker is excited to learn table tennis from the listener.,0.3333333333333333,0.5
89,89, The speaker is not good at playing tennis., The speaker has never received any formal training to play table tennis.,0.8333333333333333,1.0
90,90, The speaker is not good at playing tennis., The listener states the speaker that he will give him some training to play table tennis.,0.0,0.0
91,91, The speaker asks the listener if he knows how to play tennis., The listener states the speaker that he will give him some training to play table tennis.,0.0,0.0
92,92, The speaker is not good at playing tennis., The speaker is underconfident to play table tennis.,0.8333333333333333,1.0
93,93, The speaker knows how to play tennis., The speaker has put in a lot of practice to learn to play table tennis.,0.3333333333333333,0.5
94,94, The speaker invites the listener to play tennis tomorrow morning., The speaker and the listener played a table tennis match together and the speaker observed the mistakes of the listener and asked to rectify them.,0.16666666666666666,0.25
95,95, The speaker invites the listener to play tennis tomorrow morning., The speaker and the listener played a table tennis match together and the speaker observed the mistakes of the listener and asked to rectify them.,0.16666666666666666,0.25
96,96, The listener is happy to help the speaker., The listener is excited to play a match with the speaker.,0.0,0.0
97,97, The speaker asks the listener about his favorite chinese dish., The listener requested the speaker to join him at the restaurant in the evening to enjoy some chinese food together.,0.0,0.0
98,98, The speaker asks the listener about his favorite chinese dish., The listener requested the speaker to join him at the restaurant in the evening to enjoy some chinese food together.,0.0,0.0
99,99, The listener asked the speaker about his favorite chinese dish., The speaker has tried many chinese foods but he did not like any.,0.0,0.0
100,100, The speaker asks the listener about his favorite chinese dish., The speaker stated the listener that he ordered chinese bean curd yesterday.,0.125,0.25
101,101, The speaker asks the listener about his favorite chinese dish., The speaker stated the listener that he ordered chinese bean curd yesterday.,0.125,0.25
102,102, The listener is happy to know that the speaker likes chinese food., The listener was surprised that the speaker did not like any of the chinese food.,0.0,0.0
103,103, David was driving recklessly., David is driving very fast to flaunt his driving skills to the speaker.,0.0,0.0
104,104, David drives slowly towards the red light., David ignores the speakerâ€™s advice and continues driving with the same pace.,0.0,0.0
105,105, The speaker would tell the listener to drive slowly., David ignores the speakerâ€™s advice and continues driving with the same pace.,0.0,0.0
106,106, The speaker is confident about his driving skills., David is confident in his driving skills.,0.0,0.5
107,107, David has been driving for a long time., The speaker is driving with overconfidence that leads him to miss the traffic signal.,0.0,0.0
108,108, David drives slowly towards the red light., The speaker would tell the listener to apply brakes.,0.0,0.0
109,109, David drives slowly to avoid getting hit by the red light., The speaker would tell the listener to apply brakes.,0.0,0.0
110,110, There is a policeman on the road., David was driving very fast and broked traffic rules.,0.0,0.0
111,111, The speaker and the listener drove slowly towards the red light., A policeman caught david for breaking traffic rules.,0.0,0.0
112,112, The speaker and the listener drove slowly towards the red light., A policeman caught david for breaking traffic rules.,0.0,0.0
113,113, The listener will feel relieved after listening to the speaker's comment.," While driving, david panicked and stopped as the policeman waved his hand.",0.0,0.0
114,114, The speaker has booked a window seat for the listener., The listener is searching for his seat in the flight.,0.0,0.0
115,115, The speaker would ask the listener about his seat number., The listener stands and re-checks the seat number mentioned on the boarding pass.,0.0,0.0
116,116, The speaker asks the listener to sit in his seat., The listener stands and re-checks the seat number mentioned on the boarding pass.,0.0,0.0
117,117, The listener asked the speaker for a window seat., The speaker wants to enjoy the view from the window seat while travelling.,0.0,0.0
118,118, The speaker asks the listener about the window seat number., The listener saw the boarding pass of the speaker to confirm the seat.,0.0,0.0
119,119, The listener asks the speaker about the window seat., The listener saw the boarding pass of the speaker to confirm the seat.,0.0,0.0
120,120, The listener asked the speaker about his seat number., The listener was confused between the seats.,0.0,0.0
121,121, The speaker asks the listener about his seat number., The speaker looked for the seat no. 8a.,0.0,0.0
122,122, The speaker asks the listener about his seat number., The speaker looked for the seat no. 8a.,0.0,0.0
123,123, The listener asked the speaker about his seat number., The speaker saw the seat of the listener in the boarding pass.,0.0,0.0
124,124, The speaker would ask the listener about his seat number., The speaker found his seat and sat comfortably on it.,0.0,0.0
125,125, The speaker would ask the listener about his seat number., The speaker found his seat and sat comfortably on it.,0.0,0.0
126,126, The listener is happy to help the speaker., The listener is happy to help the speaker in finding a seat for him.,1.0,1.0
127,127, The speaker has to attend a business meeting in berlin., Many people go to germany every day for different reasons.,0.0,0.0
128,128, The speaker will board the flight to berlin., The listener requests the speaker to tell about the next flight to berlin.,0.0,0.0
129,129, The speaker checks the timings of the flight to berlin., The listener requests the speaker to tell about the next flight to berlin.,0.5,0.5
130,130, The listener inquires the speaker about the second-class ticket., All other tickets for the flight to berlin were sold out.,0.0,0.0
131,131, The listener asks the speaker about the price of the second class ticket., The listener requested the speaker to look for another flight which has a second class ticket left.,0.2,0.2
132,132, The listener asks the speaker about the cost of the second class ticket., The listener requested the speaker to look for another flight which has a second class ticket left.,0.2,0.2
133,133, The speaker has booked a ticket for berlin., The speaker needs to travel to berlin.,0.3333333333333333,0.3333333333333333
134,134, The speaker will board the next flight to berlin., The speaker states whether he needs to pay the ticket price in cash or there are some other payment modes available.,0.0,0.0
135,135, The speaker will board the next flight to berlin., The speaker states whether he needs to pay the ticket price in cash or there are some other payment modes available.,0.0,0.0
136,136, The speaker is happy to get the ticket for berlin., The speaker is looking forward to getting tickets to berlin.,0.0,0.3333333333333333
137,137, The listener asked the speaker if he'd like to buy a ticket for the next flight., There is a ticket vending machine at the airport for obtaining tickets to travel.,0.0,0.0
138,138, The listener would ask the speaker if he could get the ticket from the machine., The listener directed the speaker towards the ticket vending machine.,0.875,1.0
139,139, The listener will get a ticket for berlin from the machine., The listener directed the speaker towards the ticket vending machine.,0.16666666666666666,0.3333333333333333
140,140, The speaker is apologetic for the inconvenience caused to the listener., The speaker apologizes for not being able to give tickets to the listener.,1.0,1.0
141,141, The speaker is new to the city., The speaker is a stranger to the city.,0.0,0.0
142,142, The speaker would ask the listener about the location of the post office., The speaker would tell the listener that he needs to send an urgent letter today.,0.0,0.0
143,143, The speaker asks the listener about the location of the post office., The speaker would tell the listener that he needs to send an urgent letter today.,0.0,0.0
144,144, The speaker is curious to know about the city., The speaker is hoping for some help locating the city.,0.3333333333333333,0.5
145,145, The speaker is new to the city.," Being a local, the speaker is well versed with the city.",0.0,0.0
146,146, The listener follows the direction given by the speaker and reaches the post office., The speaker helps the listener to find the path he is looking for.,0.0,0.25
147,147, The listener follows the direction given by the speaker and reaches the post office., The speaker helps the listener to find the path he is looking for.,0.0,0.25
148,148, The speaker is curious to know about the city., The speaker is excited to welcome the listener to his city.,0.0625,0.0625
149,149, The speaker is curious to know the location of the post office., The speaker is curious to know the place where the city map is available.,0.0,0.0
150,150, There is a post office nearby., The city map is available at the post office.,0.0,0.0
151,151, The listener follows the direction given by the speaker and reaches the post office., The listener finds the post office on the other side of the road.,0.5,0.5
152,152, The listener follows the direction given by the speaker and reaches the post office., The listener finds the post office on the other side of the road.,0.5,0.5
153,153, The listener helped the speaker in locating the post office., The listener had helped the viewer to find the route and the post office.,0.0,0.0
154,154, The speaker leaves the post office and reaches his destination., The speaker bought a map of the city and found the route he had to go.,0.0,0.0
155,155, The speaker leaves the post office and reaches his destination., The speaker bought a map of the city and found the route he had to go.,0.0,0.0
156,156, The listener is happy to help the speaker., The listener is pleased to hear the speaker's word of thanks.,0.0,0.0
157,157, The speaker is curious to know what kind of gift the listener is looking for., The speaker is unsure of the gift to be purchased and is expecting the listener to assist him.,0.0,0.0
158,158, The listener asked the speaker if he could give him some suggestions., The listener was having some trouble choosing the gift to buy.,0.0,0.0
159,159, The listener asks the speaker to show him some of the local items available in the shop., The speaker points to all the available gifts items displayed in his store to the listener.,0.25,0.5
160,160, The speaker asks the listener to show him some of the local and special items available in the shop., The speaker points to all the available gifts items displayed in his store to the listener.,0.0,0.25
161,161, The listener asked the speaker about the price of the hats., The listener chooses the red colored hat of his choice and has to pay for it.,0.0,0.0
162,162, The speaker asks the listener about the price of the hats., The speaker would also tell the listener that there is no chance of a bargain because it is already at its best.,0.0,0.0
163,163, The speaker asks the listener about the price of the hats., The speaker would also tell the listener that there is no chance of a bargain because it is already at its best.,0.0,0.0
164,164, The speaker has purchased a hat for himself., The red colored hat should be available in the shop.,0.0,0.0
165,165, The listener buys the red hat for the speaker., The speaker makes the payment for the hat.,0.2222222222222222,0.2222222222222222
166,166, The listener buys the red hat for the speaker., The speaker makes the payment for the hat.,0.2222222222222222,0.2222222222222222
167,167, The speaker is happy with the design of the hat., The speaker is attracted to the red hat and is eager to buy it.,0.0,0.0
168,168, The speaker wants to help the listener., The speaker is proposing help to the listener.,1.0,1.0
169,169, The speaker is looking for information on computers., The speaker does not have good knowledge of computers and needs to know about them.,0.6666666666666666,1.0
170,170, The listener helps the speaker in finding the relevant information on computers., The listener stated if the speaker is looking for something specific about the computers.,0.5,0.75
171,171, The receptionist at the reference desk will help the speaker in locating the information on computers., The listener stated if the speaker is looking for something specific about the computers.,0.019047619047619042,0.019047619047619042
172,172, The speaker is curious to know how to find information on computers., The speaker is keen to learn the basics of computer.,0.3333333333333333,1.0
173,173, The listener asked the speaker if he was looking for some general information on computers., The listener shows some advance material related to the computer to the speaker.,0.0,0.3333333333333333
174,174, The listener asks the speaker about the type of information he needs for the project., The listener requested whether he can show him some computer books.,0.0,0.25
175,175, The listener asks the speaker about the type of information he needs for the project., The listener requested whether he can show him some computer books.,0.0,0.25
176,176, The listener asked the speaker about the type of the magazine he was looking for., The listener asks if the computer books are the latest or just some old collection.,0.0,0.0
177,177, The speaker shows the collection of magazines to the listener., The listener stated if the magazines are available for read-only or can be issued in their name.,0.0,0.0
178,178, The receptionist at the reference desk will hand over the relevant information to the receptionist., The listener stated if the magazines are available for read-only or can be issued in their name.,0.0,0.0
179,179, The speaker is curious to know the title of the magazine., The speaker is keen to know the names of the computer books.,0.0,0.0
180,180, The speaker knows how to find the magazines in the library., There is a special shelf for computer books.,0.0,0.0
181,181, The listener follows the instruction given by the speaker and finds the magazine., The speaker shows the procedure to find the books of his choice.,0.25,0.5
182,182, The listener follows the instruction given by the speaker and finds the magazine., The speaker shows the procedure to find the books of his choice.,0.25,0.5
183,183, The listener is happy to help the speaker., The listener felt comfortable that the speaker was helping him.,0.0,0.0
184,184, The storekeeper wants to help the customer with her selection of coats., The speaker is proposing help to the listener.,0.0,0.0
185,185, The speaker went to a coat store to buy a coat., The speaker goes to a cloth shop to buy a coat.,0.3333333333333333,0.6666666666666666
186,186, The storekeeper will show the customer a variety of coats., The listener shows all the variety of the coats present at his store.,0.0,0.0
187,187, The storekeeper will show the customer a variety of coats., The listener shows all the variety of the coats present at his store.,0.0,0.0
188,188, The customer wants to buy a coat for herself., The speaker is looking forward to buy a red coat.,0.0,0.0
189,189, The storekeeper shows a variety of coats to the customer., The listener denied having any red coat in medium size.,0.0,0.0
190,190, The storekeeper shows a variety of coats to the customer., The listener denied having any red coat in medium size.,0.0,0.0
191,191, The speaker is curious to know the color of the coat., The speaker is requesting the listener to show some red coats of medium size.,0.0,0.3333333333333333
192,192, The store has a wide collection of coats., Medium sized coats are out of stock in the store.,0.0,0.0
193,193, The customer will ask the storekeeper about the size of the coat., The listener stated if smaller sized coats are available.,0.0,0.0
194,194, The storekeeper shows a variety of coats to the customer., The listener stated if smaller sized coats are available.,0.0,0.0
195,195, The store sells small size coats., Short sized coats are in high demand among people.,0.16666666666666666,0.5
196,196, The customer will ask the storekeeper about the size of the coat., The listener selects the blue coat and tries it on.,0.0,0.0
197,197, The customer will ask the storekeeper about the size of the coat., The listener selects the blue coat and tries it on.,0.0,0.0
198,198, The storekeeper is apologetic for not showing the customer a larger size red coat., The speaker is apologetic as is unable to find a smaller sized coat for his customer.,0.0,0.0
199,199, The speaker is curious to try the coat., The speaker is inquisitve to know if they can check it the wearable fits them.,0.5,0.5
200,200, The customer has paid the requisite amount for the coat., The price of the coat is low for what the speaker paid for it.,0.0,0.0
201,201, The listener pays the requisite amount for the coat., The listener packed the coat and handed it over to the speaker.,0.0,0.0
202,202, The listener pays the requisite amount for the coat., The listener packed the coat and handed it over to the speaker.,0.0,0.0
203,203, The speaker wants to help the listener., The speaker humbly offering help to the listener.,1.0,1.0
204,204, The speaker is planning to visit the west end., The speaker is on leave to go to the west end.,1.0,1.0
205,205, The listener asks the speaker if she wants to go to the west end., The speaker further explains to the listener the places she wants to explore in the west end.,0.0,0.0
206,206, The listener asks the speaker about the location of the theatre., The speaker further explains to the listener the places she wants to explore in the west end.,0.0,0.0
207,207, The listener asked the speaker what she would like to do in the West end., The speaker is to consult the trip advisor for ideas to arrange a one day trip.,0.0,0.3333333333333333
208,208, The speaker decides to go to the west end with the listener., The listener stated how the speaker will be able to do everything in less time.,0.0,0.0
209,209, The speaker shows her itinerary to the listener., The listener stated how the speaker will be able to do everything in less time.,0.0,0.0
210,210, The speaker is curious to know where she can do shopping., The speaker is curious to know the place to shop.,0.5,1.0
211,211, The speaker is curious to know the way to the west end., The speaker is keen to know the way to the shopping stop.,0.13333333333333333,0.3333333333333333
212,212, The listener asked the speaker about the way to the west end., The listener is not aware of the modalities of the city.,0.0,0.0
213,213, The speaker takes the listener to the west end of the city., The speaker would tell the listener that she can go to hyde park on foot also.,0.0,0.0
214,214, The speaker would ask the listener about the location of the shopping mall., The speaker would tell the listener that she can go to hyde park on foot also.,0.2833333333333333,0.2833333333333333
215,215, The listener is guiding the speaker about the way to the west end., The listener had helped the speaker in finding ways.,0.0,0.0
216,216, The speaker and the listener headed towards the west end of the city., The listener exits the place and goes towards the hyde park.,0.0,0.0
217,217, The speaker and the listener headed towards the west end of the city., The listener exits the place and goes towards the hyde park.,0.0,0.0
218,218, The speaker and the listener headed towards the west end of the city., The speaker makes his way to his office.,0.0,0.0
219,219, The speaker and the listener headed towards the west end of the city., The speaker makes his way to his office.,0.0,0.0
220,220, The listener is happy to help the speaker., The listener is pleased by the warm gesture of the speaker.,0.0,0.0
221,221, The speaker wants to help the listener., The speaker humbly offers the listener all possible help.,1.0,1.0
222,222, The speaker is curious to know the cost of sending the books to new york., The speaker is curious to know the cost of shipping books to new york.,1.0,1.0
223,223, The listener asked the speaker how much she should pay for the books., The listener asks if the speaker is looking for something else.,0.0,0.0
224,224, The speaker pays the stamp and collects the books from the listener., The listener stated whether she can pay through the card.,0.0,0.0
225,225, The speaker pays the stamp and collects the books from the listener., The listener stated whether she can pay through the card.,0.0,0.0
226,226, There is a stamp shop nearby., $22 includes ticket and courier charges.,0.0,0.0
227,227, The speaker gave the stamp to the listener., The speaker stated if the listener needs anything other than what he has bought.,0.0,0.0
228,228, The speaker gives the stamp to the listener for sending the books to new york., The speaker stated if the listener needs anything other than what he has bought.,0.0,0.0
229,229, The speaker has paid the requisite amount of the stamp., The bill amount was less than the amount paid by the listener.,0.0,0.0
230,230, The speaker handed over the money to the listener., The listener takes the change and leaves.,0.0,0.0
231,231, The speaker gave the stamp to the listener., The listener takes the change and leaves.,0.0,0.0
232,232, The speaker has booked a ticket to new york., Mr. smith is planning some vacations to new york with his wife.,0.3333333333333333,0.3333333333333333
233,233, The speaker will board his flight to new york., The listener asks mr. smith about the details of his trip to new york.,0.0,0.0
234,234, The speaker will book a ticket to new york., The listener asks mr. smith about the details of his trip to new york.,0.0,0.0
235,235, The speaker is interested in travelling to new york., Mr. smith humbly appeals to the listener to get two tickets to new york.,0.5,0.5
236,236, The speaker is looking for a ticket to new york., Mr. smith asked for tickets to new york for the following saturday.,0.3333333333333333,0.6666666666666666
237,237, The speaker asks the listener when he will be leaving for new york., Mr. smith stated to the speaker to add the return journey to the existing ticket.,0.0,0.0
238,238, The speaker would ask the listener about the availability of tickets to new york., Mr. smith stated to the speaker to add the return journey to the existing ticket.,0.0,0.2
239,239, The listener asked the speaker about the round trip ticket price., Mr. smith asked about the total cost to be paid for the ticket.,0.0606060606060606,0.393939393939394
240,240, The listener asks the speaker about the price of the ticket., The speaker stated if the other mode of payment mr. smith would look for.,0.0,0.0
241,241, The listener asks the speaker about the price of the ticket., The speaker stated if the other mode of payment mr. smith would look for.,0.0,0.0
242,242, The speaker has booked a ticket to new york., Mr.smith is going to new york with his wife.,0.3333333333333333,0.3333333333333333
243,243, The speaker shows his credit card to the listener., The speaker takes the card and processes the payment.,0.0,0.0
244,244, The speaker shows his credit card to the listener., The speaker takes the card and processes the payment.,0.0,0.0
245,245, The speaker is interested in travelling to new york., Mr. smith looks forward to moving to new york with his wife.,0.0,0.0
246,246, The speaker is curious to know the name and passport number of the listener., The speaker is politely asking for the passport and the name.,0.41666666666666663,0.41666666666666663
247,247, The speaker must have his passport number., Mr. smith has both the passports at the time of booking the ticket.,0.0,0.0
248,248, The listener asks the speaker about his name and passport number., The listener fills all the required details associated with mr. smith in the reservation form.,0.0,0.0
249,249, The listener asks the speaker about his name and passport number., The listener fills all the required details associated with mr. smith in the reservation form.,0.0,0.0
250,250, The listener is happy to help the speaker., The listener is grateful to mr. smith for providing his phone number.,0.0,0.0
251,251, The speaker is curious to know whether the listener needs to check in., The speaker is requesting mr. kemp to check in to the room.,0.5,0.5
252,252, Mr. kemp has checked in to the hotel., The speaker checks his record and allocates a room to mr. kemp.,0.0,0.0
253,253, Mr. kemp fills the form and leaves the room., Mr. kemp fills in the required information in the form and takes the key to the room.,0.5,0.6666666666666666
254,254, Mr. kemp fills the form and leaves the room., Mr. kemp fills in the required information in the form and takes the key to the room.,0.5,0.6666666666666666
255,255, The speaker has been suffering from a fever since yesterday., The speaker got drenched in rain while returning home from his office a day earlier.,0.0,0.0
256,256, The speaker would ask the listener about the reason for the fever., The listener tests the speaker's temperature.,0.0,0.0
257,257, The speaker would ask the listener about the reason for the fever., The listener tests the speaker's temperature.,0.0,0.0
258,258, The speaker is worried about his health., The speaker is worried about his fever.,0.75,1.0
259,259, The speaker takes the medicine prescribed by the doctor and goes to bed., The doctor checks the body temperature and examines the patient.,0.0,0.0
260,260, The speaker would ask the listener if he had any other problems., The doctor checks the body temperature and examines the patient.,0.0,0.0
261,261, The listener is suffering from a fever since yesterday., The listener got drenched in rain and is unwell since then.,0.0,0.0
262,262, The listener takes the medicine prescribed by the speaker and goes to bed., The speaker would tell the listener to take some precautions and avoid taking outside food.,0.0,0.0
263,263, The speaker takes the listener to the doctor's clinic., The speaker would tell the listener to take some precautions and avoid taking outside food.,0.0,0.0
264,264, The speaker is concerned about the listener's health., The speaker is concern about the health of the listener and wants to cure him.,0.7,1.0
