,response,knowledge
37," The speaker shows the picture of her grandmother to the listener.
"," The listener suggested the speaker to reach the grandmother's house and make a cake without eggs.
"
38," The listener shows his grandmother the picture that he drew for her.
"," The listener suggested the speaker to reach the grandmother's house and make a cake without eggs.
"
39," The listener is happy to know that her mother has made a beautiful cake for her grandmother.
"," The speaker is regretful as she could not bake a cake for her grandma.
"
40," The listener asked the speaker if he knew the time.
"," The speaker takes the appointment with the professor at 2:00 clock
"
41," The speaker has to attend a meeting with professor smith.
"," The speaker wants to meet the professor seek guidance on the project and lessons
"
42," The speaker told the listener that he had to attend a meeting with professor smith.
"," The speaker stated the listener to carry on with the project.
"
43," The speaker went to his car and drove to his office.
"," The speaker stated the listener to carry on with the project.
"
44," The speaker is eager to meet professor smith.
"," The speaker is eager to meet the professor to get the desired tips on the projects and lessons
"
45," Professor smith has a meeting with linda at 2 pm.
"," The speaker has already booked an appointment with the professor at 2:10 pm
"
46," Professor smith will brief linda about michael's project.
"," The speaker left the project discussion and he went to the library.
"
47," Professor smith will brief linda about michael's project.
"," The speaker left the project discussion and he went to the library.
"
48," The speaker is eager to meet professor smith.
"," The speaker is looking forward to meeting professor smith & wishes not to be late for the same.
"
49," The listener is happy to continue the project discussion with michael.
"," The listener is hopeful of meeting professor smith.
"
50," The speaker wants to help the listener.
"," The speaker is offering help to the listener.
"
51," The speaker went to the market to buy oranges.
"," The customer is on a fruit diet and needs to buy some fruits for having breakfast.
"
52," The listener asks the speaker if he needs anything else apart from the oranges.
"," The listener shows the speaker two varieties of oranges so that he can select between them.
"
53," The listener asks the speaker about the price of the oranges.
"," The listener shows the speaker two varieties of oranges so that he can select between them.
"
54," The speaker is interested in buying oranges.
"," Oranges are speakers favourite fruits.
"
55," The listener asked the speaker if he wanted to buy florida or californias.
"," The listener was not able to differentiate between florida and california oranges.
"
56," The listener asks the speaker about the variety of oranges available in the shop.
"," The listener asked if there was any difference in price between the two.
"
57," The listener asks the speaker about the price of the californian oranges.
"," The listener asked if there was any difference in price between the two.
"
58," The listener asked the speaker whether he wanted to buy only florida or californian oranges.
"," The customer wants to taste california oranges as he has never tasted them before.
"
59," The listener packs five californian oranges for the speaker.
"," The salesman packed five california oranges.
"
60," The listener packs five californian oranges for the speaker.
"," The salesman packed five california oranges.
"
61," The speaker is curious to know how the listener sells the bananas.
"," The customer is curious to know the price of bananas.
"
62," The listener asked the speaker about the price of the oranges.
"," The speaker found the price of bananas reasonable.
"
63," The listener buys four oranges from the speaker.
"," The salesman picked the bananas and weigh them.
"
64," The speaker buys four oranges from the shop.
"," The salesman picked the bananas and weigh them.
"
65," The listener inquired about the price of the oranges.
"," The customer has ordered only a few bananas.
"
66," The listener buys four oranges for himself.
"," The salesman packed the banana along with california oranges and gave it to the customer.
"
67," The listener buys four oranges and pays for them.
"," The salesman packed the banana along with california oranges and gave it to the customer.
"
68," The speaker is curious to know the price of the oranges.
"," The customer is curious to know the total amount of the bill.
"
69," The listener is happy to help the speaker.
"," The speaker is satisfied with his fruit shopping.
"
70," There is a flight available to hong kong.
"," The speaker has to go to hong kong to attend a business meeting.
"
71," The listener checks the availability of seats on the flight to hong kong.
"," The listener gets sad as he had to reach the destination for important meeting.
"
72," The listener checks the availability of seats on the flight to hong kong.
"," The listener gets sad as he had to reach the destination for important meeting.
"
73," The first flight to hong kong leaves at 8:15 in the morning.
"," The listener wants to book a morning flight.
"
74," The speaker will board the first flight to hong kong.
"," The listener requested the speaker to book a flight for the morning.
"
75," The listener will board the first flight to hong kong.
"," The listener requested the speaker to book a flight for the morning.
"
76," The speaker is curious to know about the arrival time of the first flight to hong kong.
"," The speaker is curious to know the timing of flight to reach hong kong.
"
77," The listener asked the speaker about the time of the first plane to hong kong.
"," The speaker has received a warning for the next 48 hours of bad weather from the meteorological department.
"
78," The speaker asks his secretary to come and meet him at the scheduled time.
"," The listener would tell the secretary to wait at the airport until the flight arrives.
"
79," The speaker asks his secretary to come and meet him at the airport.
"," The listener would tell the secretary to wait at the airport until the flight arrives.
"
80," The listener informed the speaker that the flight to hong kong would be delayed due to bad weather.
"," The speaker don't want his secretary to wait in the airport for a long time and waste time.
"
81," The speaker checks the status of the flight on his computer.
"," The listener noted the speaker's phone number so that he can inform him in case of any delay.
"
82," The speaker checks the status of the flight on his computer.
"," The listener noted the speaker's phone number so that he can inform him in case of any delay.
"
83," The speaker is curious to know about the status of the flight to hong kong.
"," The speaker is concerned about the changes in the flight timings.
"
84," The listener is happy to help the speaker.
"," The listener is happy to update about the change in details of the flight.
"
85," The speaker does not know how to play tennis.
"," The speaker has never played table tennis.
"
86," The speaker informed the listener that he has never played tennis before.
"," The listener assures the speaker to teach her to play tennis.
"
87," The speaker informed the listener that he has never played tennis before.
"," The listener assures the speaker to teach her to play tennis.
"
88," The speaker is curious to know how to play tennis.
"," The speaker is excited to learn table tennis from the listener.
"
89," The speaker does not know how to play tennis.
"," The speaker has never received any formal training to play table tennis.
"
90," The speaker informed the listener that he has never played tennis before.
"," The listener states the speaker that he will give him some training to play table tennis.
"
91," The speaker informed the listener that he is not good at playing tennis.
"," The listener states the speaker that he will give him some training to play table tennis.
"
92," The speaker is not good at playing tennis.
"," The speaker is underconfident to play table tennis.
"
93," The speaker knows how to play tennis.
"," The speaker has put in a lot of practice to learn to play table tennis.
"
94," The speaker and the listener will practice together for the next few days.
"," The speaker and the listener played a table tennis match together and the speaker observed the mistakes of the listener and asked to rectify them.
"
95," The speaker and the listener will practice together for the next few days.
"," The speaker and the listener played a table tennis match together and the speaker observed the mistakes of the listener and asked to rectify them.
"
96," The listener is excited to play tennis with the speaker.
"," The listener is excited to play a match with the speaker.
"
97," The listener asks the speaker about her favorite chinese dish.
"," The listener requested the speaker to join him at the restaurant in the evening to enjoy some chinese food together.
"
98," The listener asks the speaker about her favorite chinese dish.
"," The listener requested the speaker to join him at the restaurant in the evening to enjoy some chinese food together.
"
99," The listener asked the speaker if she eats chinese food often.
"," The speaker has tried many chinese foods but he did not like any.
"
100," The speaker informed the listener that he likes chinese food very much.
"," The speaker stated the listener that he ordered chinese bean curd yesterday.
"
101," The speaker informed the listener that he likes chinese food very much.
"," The speaker stated the listener that he ordered chinese bean curd yesterday.
"
102," The listener is happy to know that the speaker likes chinese food.
"," The listener was surprised that the speaker did not like any of the chinese food.
"
103," The speaker was driving the car.
"," David is driving very fast to flaunt his driving skills to the speaker.
"
104," The speaker told david to drive slowly and take care of his car.
"," David ignores the speaker’s advice and continues driving with the same pace.
"
105," The speaker suggests david to drive slowly to avoid an accident.
"," David ignores the speaker’s advice and continues driving with the same pace.
"
106," The speaker is confident about his driving skills.
"," David is confident in his driving skills.
"
107," The speaker was driving late at night.
"," The speaker is driving with overconfidence that leads him to miss the traffic signal.
"
108," The speaker stops his car at the red light.
"," The speaker would tell the listener to apply brakes.
"
109," The speaker will be careful while driving.
"," The speaker would tell the listener to apply brakes.
"
110," There is a policeman on the road.
"," David was driving very fast and broked traffic rules.
"
111," The speaker would tell david to drive slowly.
"," A policeman caught david for breaking traffic rules.
"
112," The speaker would tell david to drive slowly.
"," A policeman caught david for breaking traffic rules.
"
113," The listener is surprised to see the policeman.
"," While driving, david panicked and stopped as the policeman waved his hand.
"
114," The listener is sitting in the seat next to the speaker.
"," The listener is searching for his seat in the flight.
"
115," The speaker asks the listener about the seat number of the listener.
"," The listener stands and re-checks the seat number mentioned on the boarding pass.
"
116," The speaker asks the listener to sit down.
"," The listener stands and re-checks the seat number mentioned on the boarding pass.
"
117," The speaker has asked for a window seat in the flight.
"," The speaker wants to enjoy the view from the window seat while travelling.
"
118," The speaker asks the listener about the seat number of the listener.
"," The listener saw the boarding pass of the speaker to confirm the seat.
"
119," The speaker will ask the listener about the seat number of the listener.
"," The listener saw the boarding pass of the speaker to confirm the seat.
"
120," The listener asked the speaker about the seat number.
"," The listener was confused between the seats.
"
121," The listener checks the seat number of the speaker.
"," The speaker looked for the seat no. 8a.
"
122," The listener checks the seat number of the speaker.
"," The speaker looked for the seat no. 8a.
"
123," The listener has asked for a window seat in the flight.
"," The speaker saw the seat of the listener in the boarding pass.
"
124," The speaker would tell the listener to sit in the seat next to him.
"," The speaker found his seat and sat comfortably on it.
"
125," The speaker would tell the listener to sit in the seat next to him.
"," The speaker found his seat and sat comfortably on it.
"
126," The listener will feel apologetic towards the speaker.
"," The listener is happy to help the speaker in finding a seat for him.
"
127," The listener asked the speaker if he could tell him when the plane for berlin leaves.
"," Many people go to germany every day for different reasons.
"
128," The speaker will board the flight for berlin.
"," The listener requests the speaker to tell about the next flight to berlin.
"
129," The speaker will board the flight on time.
"," The listener requests the speaker to tell about the next flight to berlin.
"
130," The listener inquires the speaker about the cost of the ticket for berlin.
"," All other tickets for the flight to berlin were sold out.
"
131," The listener inquires the speaker about the price of the ticket for the next flight.
"," The listener requested the speaker to look for another flight which has a second class ticket left.
"
132," The listener inquires the speaker about the price of the second class ticket.
"," The listener requested the speaker to look for another flight which has a second class ticket left.
"
133," The speaker has to catch the next flight to berlin.
"," The speaker needs to travel to berlin.
"
134," The speaker will book a ticket for the next flight to berlin.
"," The speaker states whether he needs to pay the ticket price in cash or there are some other payment modes available.
"
135," The speaker will book a ticket for the next flight to berlin.
"," The speaker states whether he needs to pay the ticket price in cash or there are some other payment modes available.
"
136," The speaker is hopeful of getting a ticket for the next flight.
"," The speaker is looking forward to getting tickets to berlin.
"
137," The listener asked the speaker if he could get a ticket for the next flight.
"," There is a ticket vending machine at the airport for obtaining tickets to travel.
"
138," The listener will buy the ticket from the ticket vending machine.
"," The listener directed the speaker towards the ticket vending machine.
"
139," The listener asked the speaker if he could buy a ticket for the next flight.
"," The listener directed the speaker towards the ticket vending machine.
"
140," The speaker is apologetic for not selling tickets.
"," The speaker apologizes for not being able to give tickets to the listener.
"
141," The speaker has never visited the city before.
"," The speaker is a stranger to the city.
"
142," The listener will guide the speaker to the post office.
"," The speaker would tell the listener that he needs to send an urgent letter today.
"
143," The listener will guide the speaker to the post office.
"," The speaker would tell the listener that he needs to send an urgent letter today.
"
144," The speaker is curious to know about the city.
"," The speaker is hoping for some help locating the city.
"
145," The speaker knows the way to the post office.
"," Being a local, the speaker is well versed with the city.
"
146," The listener follows the speaker to the post office.
"," The speaker helps the listener to find the path he is looking for.
"
147," The listener follows the speaker to the post office.
"," The speaker helps the listener to find the path he is looking for.
"
148," The speaker is happy to help the listener.
"," The speaker is excited to welcome the listener to his city.
"
149," The speaker is curious to know about the city.
"," The speaker is curious to know the place where the city map is available.
"
150," The post office is nearby the speaker's house.
"," The city map is available at the post office.
"
151," The listener follows the direction given by the speaker and reaches the post office.
"," The listener finds the post office on the other side of the road.
"
152," The listener follows the direction given by the speaker and reaches the post office.
"," The listener finds the post office on the other side of the road.
"
153," The listener has helped the speaker in finding the post office.
"," The listener had helped the viewer to find the route and the post office.
"
154," The speaker will reach the post office on time.
"," The speaker bought a map of the city and found the route he had to go.
"
155," The speaker will reach the post office on time.
"," The speaker bought a map of the city and found the route he had to go.
"
156," The listener is happy to help the speaker.
"," The listener is pleased to hear the speaker's word of thanks.
"
157," The speaker is curious to know about the local products available in the shop.
"," The speaker is unsure of the gift to be purchased and is expecting the listener to assist him.
"
158," The speaker is looking for something local or special to give as a gift.
"," The listener was having some trouble choosing the gift to buy.
"
159," The speaker shows the listener a variety of hats and pottery available in the shop.
"," The speaker points to all the available gifts items displayed in his store to the listener.
"
160," The speaker shows the listener a variety of gifts available in the shop.
"," The speaker points to all the available gifts items displayed in his store to the listener.
"
161," The listener inquired about the price of the hats.
"," The listener chooses the red colored hat of his choice and has to pay for it.
"
162," The listener pays for the hat and leaves the shop.
"," The speaker would also tell the listener that there is no chance of a bargain because it is already at its best.
"
163," The listener pays for the hat and leaves the shop.
"," The speaker would also tell the listener that there is no chance of a bargain because it is already at its best.
"
164," The red hat is available in the shop.
"," The red colored hat should be available in the shop.
"
165," The speaker buys the red hat and gives it to the listener.
"," The speaker makes the payment for the hat.
"
166," The speaker buys the red hat and gives it to the listener.
"," The speaker makes the payment for the hat.
"
167," The speaker is happy to buy the red hat.
"," The speaker is attracted to the red hat and is eager to buy it.
"
168," The speaker is happy to help the listener.
"," The speaker is proposing help to the listener.
"
169," The listener asked the speaker if he could help him.
"," The speaker does not have good knowledge of computers and needs to know about them.
"
170," The listener shows the list of magazines dealing with computers to the speaker.
"," The listener stated if the speaker is looking for something specific about the computers.
"
171," The listener will ask the speaker about the availability of computers in the library.
"," The listener stated if the speaker is looking for something specific about the computers.
"
172," The speaker is curious to know about computers.
"," The speaker is keen to learn the basics of computer.
"
173," The listener asked the speaker whether he was looking for a particular research project or some general information.
"," The listener shows some advance material related to the computer to the speaker.
"
174," The listener shows the list of magazines dealing with computers to the speaker.
"," The listener requested whether he can show him some computer books.
"
175," The listener asks the speaker if he is looking for a particular research project or some general information.
"," The listener requested whether he can show him some computer books.
"
176," The listener asked the speaker if he needed any specific information on computers.
"," The listener asks if the computer books are the latest or just some old collection.
"
177," The speaker shows the list of magazines dealing with computers to the listener.
"," The listener stated if the magazines are available for read-only or can be issued in their name.
"
178," The speaker shows the list of magazines dealing with computers to the listener.
"," The listener stated if the magazines are available for read-only or can be issued in their name.
"
179," The speaker is curious to know the title of the magazine.
"," The speaker is keen to know the names of the computer books.
"
180," The library has many magazines dealing with computers.
"," There is a special shelf for computer books.
"
181," The listener will follow the speaker to the reference desk and will find the magazines dealing with computers.
"," The speaker shows the procedure to find the books of his choice.
"
182," The listener will follow the speaker to the reference desk and will find the magazines dealing with computers.
"," The speaker shows the procedure to find the books of his choice.
"
183," The listener is curious to know how to find the magazines dealing with computers.
"," The listener felt comfortable that the speaker was helping him.
"
184," The storekeeper wants to help the customer with her selection of coats.
"," The speaker is proposing help to the listener.
"
185," The speaker went to a clothing store to buy a coat.
"," The speaker goes to a cloth shop to buy a coat.
"
186," The storekeeper will show the customer a variety of coats in different colors.
"," The listener shows all the variety of the coats present at his store.
"
187," The listener asks the speaker about the price of the coat she is looking for.
"," The listener shows all the variety of the coats present at his store.
"
188," The speaker is excited to buy a coat for herself.
"," The speaker is looking forward to buy a red coat.
"
189," The storekeeper will show the customer a variety of coats in different colors.
"," The listener denied having any red coat in medium size.
"
190," The storekeeper will show the customer a variety of coats in different colors.
"," The listener denied having any red coat in medium size.
"
191," The speaker is curious to know about the color of the coat.
"," The speaker is requesting the listener to show some red coats of medium size.
"
192," The store sells medium sized coats.
"," Medium sized coats are out of stock in the store.
"
193," The customer will ask the storekeeper about the size of the coat she is looking for.
"," The listener stated if smaller sized coats are available.
"
194," The storekeeper shows the customer a variety of coats in different sizes.
"," The listener stated if smaller sized coats are available.
"
195," The store sells medium sized coats.
"," Short sized coats are in high demand among people.
"
196," The customer will look for a smaller size coat in the store.
"," The listener selects the blue coat and tries it on.
"
197," The customer will look for a smaller size coat in the store.
"," The listener selects the blue coat and tries it on.
"
198," The speaker is apologetic for not having a smaller size coat for the listener.
"," The speaker is apologetic as is unable to find a smaller sized coat for his customer.
"
199," The speaker is curious to try the coat on her.
"," The speaker is inquisitve to know if they can check it the wearable fits them.
"
200," The customer has paid for the coat.
"," The price of the coat is low for what the speaker paid for it.
"
201," The customer pays for the coat and leaves the store.
"," The listener packed the coat and handed it over to the speaker.
"
202," The customer pays for the coat and leaves the store.
"," The listener packed the coat and handed it over to the speaker.
"
203," The speaker is happy to help the listener.
"," The speaker humbly offering help to the listener.
"
204," The speaker is planning to visit west end.
"," The speaker is on leave to go to the west end.
"
205," The listener asks the speaker about her plans for the west end.
"," The speaker further explains to the listener the places she wants to explore in the west end.
"
206," The speaker will book a taxi to reach the west end.
"," The speaker further explains to the listener the places she wants to explore in the west end.
"
207," The listener asked the speaker what she would like to do with her time.
"," The speaker is to consult the trip advisor for ideas to arrange a one day trip.
"
208," The speaker will visit museums, art galleries, and cinemas in the west end.
"," The listener stated how the speaker will be able to do everything in less time.
"
209," The speaker shows her itinerary to the listener.
"," The listener stated how the speaker will be able to do everything in less time.
"
210," The speaker is curious to know where she can go shopping first.
"," The speaker is curious to know the place to shop.
"
211," The speaker is curious to know how she can reach the west end.
"," The speaker is keen to know the way to the shopping stop.
"
212," The listener asked the speaker how she could reach the west end.
"," The listener is not aware of the modalities of the city.
"
213," The speaker would ask the listener about the best way to reach the west end.
"," The speaker would tell the listener that she can go to hyde park on foot also.
"
214," The speaker would ask the listener about the best way to reach the west end.
"," The speaker would tell the listener that she can go to hyde park on foot also.
"
215," The listener has helped the speaker in finding the way to the west end.
"," The listener had helped the speaker in finding ways.
"
216," The speaker will enjoy her trip to west end.
"," The listener exits the place and goes towards the hyde park.
"
217," The speaker will enjoy her trip to west end.
"," The listener exits the place and goes towards the hyde park.
"
218," The listener will enjoy her trip to west end.
"," The speaker makes his way to his office.
"
219," The listener will enjoy her trip to west end.
"," The speaker makes his way to his office.
"
220," The listener is happy to help the speaker.
"," The listener is pleased by the warm gesture of the speaker.
"
221," The speaker is happy to help the listener.
"," The speaker humbly offers the listener all possible help.
"
222," The speaker is curious to know the cost of sending books to new york.
"," The speaker is curious to know the cost of shipping books to new york.
"
223," The speaker has to send the books to new york.
"," The listener asks if the speaker is looking for something else.
"
224," The listener stamps the books and sends them to new york.
"," The listener stated whether she can pay through the card.
"
225," The speaker pays the requisite amount for the books to be sent to new york.
"," The listener stated whether she can pay through the card.
"
226," The speaker has to send the books to new york.
"," $22 includes ticket and courier charges.
"
227," The speaker pays for the books to be sent to new york.
"," The speaker stated if the listener needs anything other than what he has bought.
"
228," The speaker pays the requisite amount for the books to be sent to new york.
"," The speaker stated if the listener needs anything other than what he has bought.
"
229," The listener has paid for the books to be sent to new york.
"," The bill amount was less than the amount paid by the listener.
"
230," The listener packs the books for the speaker.
"," The listener takes the change and leaves.
"
231," The listener packs the books for the speaker.
"," The listener takes the change and leaves.
"
232," The speaker has to attend a business meeting in new york.
"," Mr. smith is planning some vacations to new york with his wife.
"
233," The listener checks the availability of tickets to new york.
"," The listener asks mr. smith about the details of his trip to new york.
"
234," The speaker will pay for the tickets to new york.
"," The listener asks mr. smith about the details of his trip to new york.
"
235," The speaker is excited to travel to new york.
"," Mr. smith humbly appeals to the listener to get two tickets to new york.
"
236," The speaker asked the listener when he would like to leave for new york.
"," Mr. smith asked for tickets to new york for the following saturday.
"
237," The speaker asked the listener about the availability of tickets for new york.
"," Mr. smith stated to the speaker to add the return journey to the existing ticket.
"
238," The speaker shows the listener the remaining tickets to new york.
"," Mr. smith stated to the speaker to add the return journey to the existing ticket.
"
239," The listener asked the speaker about the ticket price.
"," Mr. smith asked about the total cost to be paid for the ticket.
"
240," The speaker pays for the tickets and leaves the airport.
"," The speaker stated if the other mode of payment mr. smith would look for.
"
241," The speaker pays for the tickets and leaves the hotel.
"," The speaker stated if the other mode of payment mr. smith would look for.
"
242," The speaker has to attend a business meeting in new york.
"," Mr.smith is going to new york with his wife.
"
243," The speaker will pay for the tickets to new york with his credit card.
"," The speaker takes the card and processes the payment.
"
244," The speaker pays for the tickets with his credit card.
"," The speaker takes the card and processes the payment.
"
245," The speaker is excited to travel to new york.
"," Mr. smith looks forward to moving to new york with his wife.
"
246," The speaker is curious to know the name and passport number of the listener.
"," The speaker is politely asking for the passport and the name.
"
247," The speaker has a valid passport.
"," Mr. smith has both the passports at the time of booking the ticket.
"
248," The listener notes down the name and passport number of the speaker.
"," The listener fills all the required details associated with mr. smith in the reservation form.
"
249," The listener notes down the name and passport number of the speaker.
"," The listener fills all the required details associated with mr. smith in the reservation form.
"
250," The listener is happy to help the speaker.
"," The listener is grateful to mr. smith for providing his phone number.
"
251," The hotel staff wants to help the guest in checking in.
"," The speaker is requesting mr. kemp to check in to the room.
"
252," Mr. kemp has checked into the hotel.
"," The speaker checks his record and allocates a room to mr. kemp.
"
253," Mr. kemp fills the form and checks into his room.
"," Mr. kemp fills in the required information in the form and takes the key to the room.
"
254," Mr. kemp fills the form and checks into his room.
"," Mr. kemp fills in the required information in the form and takes the key to the room.
"
255," The speaker went to the doctor to get his fever checked.
"," The speaker got drenched in rain while returning home from his office a day earlier.
"
256," The speaker will take the medicines prescribed by the doctor.
"," The listener tests the speaker's temperature.
"
257," The doctor will advise the speaker to take some medicines.
"," The listener tests the speaker's temperature.
"
258," The speaker is worried about his health.
"," The speaker is worried about his fever.
"
259," The speaker will take the medicine prescribed by the doctor.
"," The doctor checks the body temperature and examines the patient.
"
260," The doctor will advise the speaker to take some medicines to control the fever.
"," The doctor checks the body temperature and examines the patient.
"
261," The listener is suffering from a fever since yesterday.
"," The listener got drenched in rain and is unwell since then.
"
262," The listener will take the medicine prescribed by the doctor.
"," The speaker would tell the listener to take some precautions and avoid taking outside food.
"
263," The listener will take the medicine prescribed by the doctor.
"," The speaker would tell the listener to take some precautions and avoid taking outside food.
"
264," The doctor is concerned about the listener's health.
"," The speaker is concern about the health of the listener and wants to cure him.
"
265," The listener is suffering from a fever since yesterday.
"," The listener's health condition becomes worst due to fever.
"
266," The listener will take some rest and will feel better in a few days.
"," The speaker applies for leave for three days from the office and takes some rest.
"
267," The listener will take some rest and will feel better in a few days.
"," The speaker applies for leave for three days from the office and takes some rest.
"
268," The listener has taken the medicine prescribed by the doctor.
"," Due to severe fever, the listener consults the doctor and takes medicines from there.
"
269," The listener takes the medicine prescribed by the doctor and rests for a few days.
"," The listener follows the instruction of the speaker and his disease gets cured.
"
270," The listener takes the medicine prescribed by the doctor and rests for a few days.
"," The listener follows the instruction of the speaker and his disease gets cured.
"
271," The listener is happy to help the speaker.
"," The listener is also happy to give treatment to the patient.
"
272," The speaker is happy to help the listener.
"," The speaker is feeling relief to consult the doctor and take medicine.
"
273," The listener asked the speaker what he would say to his boss about the data analysis.
"," The speaker is not able to finish his work at the proper time.
"
274," The speaker told the listener that he had to complete the data analysis before the deadline.
"," The listener stated to the speaker that the boss will not accept the excuse.
"
275," The speaker informed the listener that he had to submit the data analysis report by the end of the day.
"," The listener stated to the speaker that the boss will not accept the excuse.
"
276," The speaker is concerned about his boss.
"," The speaker is disappointed with the work to finish in a short time.
"
277," The listener has not done the data analysis yet.
"," The speaker is not able to finish his work within the timeline.
"
278," The speaker suggests the listener to come up with a better story for the boss.
"," The speaker would tell the boss, he needed to attend the funeral ceremony so he didn't get enough time to finish the job.
"
279," The speaker suggests the listener to come up with a better story for the boss.
"," The speaker would tell the boss, he needed to attend the funeral ceremony so he didn't get enough time to finish the job.
"
280," The listener is annoyed by the speaker's comment.
"," The listener accepts the suggestion of the speaker and makes another excuse to boss for the completion of the work.
"
281," The term exams are going on.
"," John not able to perform well in the exam due to lack of prepration.
"
282," The speaker suggests the listener to work hard to improve his performance in the term exam.
"," The listener would tell the speaker that there were many questions in the exam which were out of the syllabus.
"
283," John will work hard to improve his performance in the upcoming term exam.
"," The listener would tell the speaker that there were many questions in the exam which were out of the syllabus.
"
284," The speaker is not good in the french exam.
"," The exam is very tough too so the winning percentage is very low.
"
285," The speaker informed the listener that he has never done well in the exam.
"," The listener advice the speaker to forget whatever happened and ask him to do a fresh start.
"
286," The speaker informed the listener that he has never done well in the french exam.
"," The listener advice the speaker to forget whatever happened and ask him to do a fresh start.
"
287," The speaker is disappointed with his performance in the exam.
"," The speaker is depressed about to not being able to perform well in the exam.
"
288," The speaker and the listener are discussing the upcoming football match.
"," The speaker did not meet his expectation in the exam.
"
289," The speaker and the listener will watch the football match together.
"," The speaker stated to the listener that he has invited some friends at home to watch the football match.
"
290," The speaker and the listener will watch the football match together.
"," The speaker stated to the listener that he has invited some friends at home to watch the football match.
"
291," The speaker is not interested in watching the football match.
"," The speaker is disgusted with the sportsman spirit of the chinese team who always loses imptortant matches.
"
292," The listener is not interested in watching the football match.
"," The chinese team always loses the critical match,the listener is embarrassed by the performance of the chinese team.
"
293," The speaker and the listener will watch the football match together.
"," The speaker would tell that he would rather watch the movie on tv.
"
294," The speaker and the listener will watch the football match together.
"," The speaker would tell that he would rather watch the movie on tv.
"
295," The speaker is not interested in watching the football match.
"," The chinese team lost the previous match with japan in the semi-final.
"
296," The speaker informed the listener that the chinese team is not good enough to win the match.
"," The speaker skipped watching the football match and he watched a movie at that time.
"
