,Unnamed: 0,response,knowledge,Q2
58,58," The listener asked the speaker whether he wanted to buy only florida or californian oranges.
"," The customer wants to taste california oranges as he has never tasted them before.
",0.0
59,59," The listener packs five californian oranges for the speaker.
"," The salesman packed five california oranges.
",0.0
60,60," The listener packs five californian oranges for the speaker.
"," The salesman packed five california oranges.
",0.0
61,61," The speaker is curious to know how the listener sells the bananas.
"," The customer is curious to know the price of bananas.
",0.0
62,62," The listener asked the speaker about the price of the oranges.
"," The speaker found the price of bananas reasonable.
",0.0
63,63," The listener buys four oranges from the speaker.
"," The salesman picked the bananas and weigh them.
",0.0
64,64," The speaker buys four oranges from the shop.
"," The salesman picked the bananas and weigh them.
",0.0
65,65," The listener inquired about the price of the oranges.
"," The customer has ordered only a few bananas.
",0.0
66,66," The listener buys four oranges for himself.
"," The salesman packed the banana along with california oranges and gave it to the customer.
",0.0
67,67," The listener buys four oranges and pays for them.
"," The salesman packed the banana along with california oranges and gave it to the customer.
",0.0
68,68," The speaker is curious to know the price of the oranges.
"," The customer is curious to know the total amount of the bill.
",0.0
69,69," The listener is happy to help the speaker.
"," The speaker is satisfied with his fruit shopping.
",0.0
70,70," There is a flight available to hong kong.
"," The speaker has to go to hong kong to attend a business meeting.
",0.0
71,71," The listener checks the availability of seats on the flight to hong kong.
"," The listener gets sad as he had to reach the destination for important meeting.
",0.0
72,72," The listener checks the availability of seats on the flight to hong kong.
"," The listener gets sad as he had to reach the destination for important meeting.
",0.0
73,73," The first flight to hong kong leaves at 8:15 in the morning.
"," The listener wants to book a morning flight.
",0.3333333333333333
74,74," The speaker will board the first flight to hong kong.
"," The listener requested the speaker to book a flight for the morning.
",0.0
75,75," The listener will board the first flight to hong kong.
"," The listener requested the speaker to book a flight for the morning.
",0.0
76,76," The speaker is curious to know about the arrival time of the first flight to hong kong.
"," The speaker is curious to know the timing of flight to reach hong kong.
",0.6666666666666666
77,77," The listener asked the speaker about the time of the first plane to hong kong.
"," The speaker has received a warning for the next 48 hours of bad weather from the meteorological department.
",0.0
78,78," The speaker asks his secretary to come and meet him at the scheduled time.
"," The listener would tell the secretary to wait at the airport until the flight arrives.
",0.0
79,79," The speaker asks his secretary to come and meet him at the airport.
"," The listener would tell the secretary to wait at the airport until the flight arrives.
",0.0
80,80," The listener informed the speaker that the flight to hong kong would be delayed due to bad weather.
"," The speaker don't want his secretary to wait in the airport for a long time and waste time.
",0.0
81,81," The speaker checks the status of the flight on his computer.
"," The listener noted the speaker's phone number so that he can inform him in case of any delay.
",0.0
82,82," The speaker checks the status of the flight on his computer.
"," The listener noted the speaker's phone number so that he can inform him in case of any delay.
",0.0
83,83," The speaker is curious to know about the status of the flight to hong kong.
"," The speaker is concerned about the changes in the flight timings.
",0.0
84,84," The listener is happy to help the speaker.
"," The listener is happy to update about the change in details of the flight.
",0.0
85,85," The speaker does not know how to play tennis.
"," The speaker has never played table tennis.
",0.8333333333333333
86,86," The speaker informed the listener that he has never played tennis before.
"," The listener assures the speaker to teach her to play tennis.
",0.0
87,87," The speaker informed the listener that he has never played tennis before.
"," The listener assures the speaker to teach her to play tennis.
",0.0
88,88," The speaker is curious to know how to play tennis.
"," The speaker is excited to learn table tennis from the listener.
",0.3333333333333333
89,89," The speaker does not know how to play tennis.
"," The speaker has never received any formal training to play table tennis.
",0.8333333333333333
90,90," The speaker informed the listener that he has never played tennis before.
"," The listener states the speaker that he will give him some training to play table tennis.
",0.0
91,91," The speaker informed the listener that he is not good at playing tennis.
"," The listener states the speaker that he will give him some training to play table tennis.
",0.0
92,92," The speaker is not good at playing tennis.
"," The speaker is underconfident to play table tennis.
",0.3333333333333333
93,93," The speaker knows how to play tennis.
"," The speaker has put in a lot of practice to learn to play table tennis.
",0.8333333333333333
94,94," The speaker and the listener will practice together for the next few days.
"," The speaker and the listener played a table tennis match together and the speaker observed the mistakes of the listener and asked to rectify them.
",0.0
95,95," The speaker and the listener will practice together for the next few days.
"," The speaker and the listener played a table tennis match together and the speaker observed the mistakes of the listener and asked to rectify them.
",0.0
96,96," The listener is excited to play tennis with the speaker.
"," The listener is excited to play a match with the speaker.
",0.6666666666666666
97,97," The listener asks the speaker about her favorite chinese dish.
"," The listener requested the speaker to join him at the restaurant in the evening to enjoy some chinese food together.
",0.19999999999999998
98,98," The listener asks the speaker about her favorite chinese dish.
"," The listener requested the speaker to join him at the restaurant in the evening to enjoy some chinese food together.
",0.19999999999999998
99,99," The listener asked the speaker if she eats chinese food often.
"," The speaker has tried many chinese foods but he did not like any.
",0.16666666666666666
100,100," The speaker informed the listener that he likes chinese food very much.
"," The speaker stated the listener that he ordered chinese bean curd yesterday.
",0.03571428571428572
101,101," The speaker informed the listener that he likes chinese food very much.
"," The speaker stated the listener that he ordered chinese bean curd yesterday.
",0.03571428571428572
102,102," The listener is happy to know that the speaker likes chinese food.
"," The listener was surprised that the speaker did not like any of the chinese food.
",0.0
103,103," The speaker was driving the car.
"," David is driving very fast to flaunt his driving skills to the speaker.
",0.0
104,104," The speaker told david to drive slowly and take care of his car.
"," David ignores the speaker’s advice and continues driving with the same pace.
",0.3333333333333333
105,105," The speaker suggests david to drive slowly to avoid an accident.
"," David ignores the speaker’s advice and continues driving with the same pace.
",0.0
106,106," The speaker is confident about his driving skills.
"," David is confident in his driving skills.
",0.0
107,107," The speaker was driving late at night.
"," The speaker is driving with overconfidence that leads him to miss the traffic signal.
",0.0
108,108," The speaker stops his car at the red light.
"," The speaker would tell the listener to apply brakes.
",0.0
109,109," The speaker will be careful while driving.
"," The speaker would tell the listener to apply brakes.
",0.0
110,110," There is a policeman on the road.
"," David was driving very fast and broked traffic rules.
",0.0
111,111," The speaker would tell david to drive slowly.
"," A policeman caught david for breaking traffic rules.
",0.0
112,112," The speaker would tell david to drive slowly.
"," A policeman caught david for breaking traffic rules.
",0.0
113,113," The listener is surprised to see the policeman.
"," While driving, david panicked and stopped as the policeman waved his hand.
",0.0
114,114," The listener is sitting in the seat next to the speaker.
"," The listener is searching for his seat in the flight.
",0.0
115,115," The speaker asks the listener about the seat number of the listener.
"," The listener stands and re-checks the seat number mentioned on the boarding pass.
",0.0
116,116," The speaker asks the listener to sit down.
"," The listener stands and re-checks the seat number mentioned on the boarding pass.
",0.0
117,117," The speaker has asked for a window seat in the flight.
"," The speaker wants to enjoy the view from the window seat while travelling.
",0.3333333333333333
118,118," The speaker asks the listener about the seat number of the listener.
"," The listener saw the boarding pass of the speaker to confirm the seat.
",0.0
119,119," The speaker will ask the listener about the seat number of the listener.
"," The listener saw the boarding pass of the speaker to confirm the seat.
",0.0
120,120," The listener asked the speaker about the seat number.
"," The listener was confused between the seats.
",0.0
121,121," The listener checks the seat number of the speaker.
"," The speaker looked for the seat no. 8a.
",0.0
122,122," The listener checks the seat number of the speaker.
"," The speaker looked for the seat no. 8a.
",0.0
123,123," The listener has asked for a window seat in the flight.
"," The speaker saw the seat of the listener in the boarding pass.
",0.0
124,124," The speaker would tell the listener to sit in the seat next to him.
"," The speaker found his seat and sat comfortably on it.
",0.0
125,125," The speaker would tell the listener to sit in the seat next to him.
"," The speaker found his seat and sat comfortably on it.
",0.0
126,126," The listener will feel apologetic towards the speaker.
"," The listener is happy to help the speaker in finding a seat for him.
",0.0
127,127," The listener asked the speaker if he could tell him when the plane for berlin leaves.
"," Many people go to germany every day for different reasons.
",0.0
128,128," The speaker will board the flight for berlin.
"," The listener requests the speaker to tell about the next flight to berlin.
",0.0
129,129," The speaker will board the flight on time.
"," The listener requests the speaker to tell about the next flight to berlin.
",0.0
130,130," The listener inquires the speaker about the cost of the ticket for berlin.
"," All other tickets for the flight to berlin were sold out.
",0.0
131,131," The listener inquires the speaker about the price of the ticket for the next flight.
"," The listener requested the speaker to look for another flight which has a second class ticket left.
",0.03333333333333333
132,132," The listener inquires the speaker about the price of the second class ticket.
"," The listener requested the speaker to look for another flight which has a second class ticket left.
",0.13333333333333333
133,133," The speaker has to catch the next flight to berlin.
"," The speaker needs to travel to berlin.
",1.0
134,134," The speaker will book a ticket for the next flight to berlin.
"," The speaker states whether he needs to pay the ticket price in cash or there are some other payment modes available.
",0.3888888888888889
135,135," The speaker will book a ticket for the next flight to berlin.
"," The speaker states whether he needs to pay the ticket price in cash or there are some other payment modes available.
",0.3888888888888889
136,136," The speaker is hopeful of getting a ticket for the next flight.
"," The speaker is looking forward to getting tickets to berlin.
",0.3333333333333333
137,137," The listener asked the speaker if he could get a ticket for the next flight.
"," There is a ticket vending machine at the airport for obtaining tickets to travel.
",0.0
138,138," The listener will buy the ticket from the ticket vending machine.
"," The listener directed the speaker towards the ticket vending machine.
",0.6666666666666666
139,139," The listener asked the speaker if he could buy a ticket for the next flight.
"," The listener directed the speaker towards the ticket vending machine.
",0.5
140,140," The speaker is apologetic for not selling tickets.
"," The speaker apologizes for not being able to give tickets to the listener.
",0.0
141,141," The speaker has never visited the city before.
"," The speaker is a stranger to the city.
",1.0
142,142," The listener will guide the speaker to the post office.
"," The speaker would tell the listener that he needs to send an urgent letter today.
",0.0
143,143," The listener will guide the speaker to the post office.
"," The speaker would tell the listener that he needs to send an urgent letter today.
",0.0
144,144," The speaker is curious to know about the city.
"," The speaker is hoping for some help locating the city.
",0.0
145,145," The speaker knows the way to the post office.
"," Being a local, the speaker is well versed with the city.
",0.0
146,146," The listener follows the speaker to the post office.
"," The speaker helps the listener to find the path he is looking for.
",0.0
147,147," The listener follows the speaker to the post office.
"," The speaker helps the listener to find the path he is looking for.
",0.0
148,148," The speaker is happy to help the listener.
"," The speaker is excited to welcome the listener to his city.
",0.0
149,149," The speaker is curious to know about the city.
"," The speaker is curious to know the place where the city map is available.
",0.6111111111111112
150,150," The post office is nearby the speaker's house.
"," The city map is available at the post office.
",0.0
151,151," The listener follows the direction given by the speaker and reaches the post office.
"," The listener finds the post office on the other side of the road.
",0.5
152,152," The listener follows the direction given by the speaker and reaches the post office.
"," The listener finds the post office on the other side of the road.
",0.5
153,153," The listener has helped the speaker in finding the post office.
"," The listener had helped the viewer to find the route and the post office.
",0.0
154,154," The speaker will reach the post office on time.
"," The speaker bought a map of the city and found the route he had to go.
",0.0
155,155," The speaker will reach the post office on time.
"," The speaker bought a map of the city and found the route he had to go.
",0.0
156,156," The listener is happy to help the speaker.
"," The listener is pleased to hear the speaker's word of thanks.
",0.0
157,157," The speaker is curious to know about the local products available in the shop.
"," The speaker is unsure of the gift to be purchased and is expecting the listener to assist him.
",0.0
158,158," The speaker is looking for something local or special to give as a gift.
"," The listener was having some trouble choosing the gift to buy.
",0.0
159,159," The speaker shows the listener a variety of hats and pottery available in the shop.
"," The speaker points to all the available gifts items displayed in his store to the listener.
",0.0
160,160," The speaker shows the listener a variety of gifts available in the shop.
"," The speaker points to all the available gifts items displayed in his store to the listener.
",0.5333333333333333
161,161," The listener inquired about the price of the hats.
"," The listener chooses the red colored hat of his choice and has to pay for it.
",0.0
162,162," The listener pays for the hat and leaves the shop.
"," The speaker would also tell the listener that there is no chance of a bargain because it is already at its best.
",0.0
163,163," The listener pays for the hat and leaves the shop.
"," The speaker would also tell the listener that there is no chance of a bargain because it is already at its best.
",0.0
164,164," The red hat is available in the shop.
"," The red colored hat should be available in the shop.
",0.0
165,165," The speaker buys the red hat and gives it to the listener.
"," The speaker makes the payment for the hat.
",0.0
166,166," The speaker buys the red hat and gives it to the listener.
"," The speaker makes the payment for the hat.
",0.0
167,167," The speaker is happy to buy the red hat.
"," The speaker is attracted to the red hat and is eager to buy it.
",0.0
168,168," The speaker is happy to help the listener.
"," The speaker is proposing help to the listener.
",0.0
169,169," The listener asked the speaker if he could help him.
"," The speaker does not have good knowledge of computers and needs to know about them.
",0.0
170,170," The listener shows the list of magazines dealing with computers to the speaker.
"," The listener stated if the speaker is looking for something specific about the computers.
",0.0
171,171," The listener will ask the speaker about the availability of computers in the library.
"," The listener stated if the speaker is looking for something specific about the computers.
",0.6
172,172," The speaker is curious to know about computers.
"," The speaker is keen to learn the basics of computer.
",0.0
173,173," The listener asked the speaker whether he was looking for a particular research project or some general information.
"," The listener shows some advance material related to the computer to the speaker.
",0.0
174,174," The listener shows the list of magazines dealing with computers to the speaker.
"," The listener requested whether he can show him some computer books.
",0.0
175,175," The listener asks the speaker if he is looking for a particular research project or some general information.
"," The listener requested whether he can show him some computer books.
",0.024691358024691357
176,176," The listener asked the speaker if he needed any specific information on computers.
"," The listener asks if the computer books are the latest or just some old collection.
",0.0
177,177," The speaker shows the list of magazines dealing with computers to the listener.
"," The listener stated if the magazines are available for read-only or can be issued in their name.
",0.0
178,178," The speaker shows the list of magazines dealing with computers to the listener.
"," The listener stated if the magazines are available for read-only or can be issued in their name.
",0.0
179,179," The speaker is curious to know the title of the magazine.
"," The speaker is keen to know the names of the computer books.
",0.0
180,180," The library has many magazines dealing with computers.
"," There is a special shelf for computer books.
",0.0
181,181," The listener will follow the speaker to the reference desk and will find the magazines dealing with computers.
"," The speaker shows the procedure to find the books of his choice.
",0.0
182,182," The listener will follow the speaker to the reference desk and will find the magazines dealing with computers.
"," The speaker shows the procedure to find the books of his choice.
",0.0
183,183," The listener is curious to know how to find the magazines dealing with computers.
"," The listener felt comfortable that the speaker was helping him.
",0.0
184,184," The storekeeper wants to help the customer with her selection of coats.
"," The speaker is proposing help to the listener.
",0.0
185,185," The speaker went to a clothing store to buy a coat.
"," The speaker goes to a cloth shop to buy a coat.
",0.6666666666666666
186,186," The storekeeper will show the customer a variety of coats in different colors.
"," The listener shows all the variety of the coats present at his store.
",0.0
187,187," The listener asks the speaker about the price of the coat she is looking for.
"," The listener shows all the variety of the coats present at his store.
",0.0
188,188," The speaker is excited to buy a coat for herself.
"," The speaker is looking forward to buy a red coat.
",0.5555555555555555
189,189," The storekeeper will show the customer a variety of coats in different colors.
"," The listener denied having any red coat in medium size.
",0.0
190,190," The storekeeper will show the customer a variety of coats in different colors.
"," The listener denied having any red coat in medium size.
",0.0
191,191," The speaker is curious to know about the color of the coat.
"," The speaker is requesting the listener to show some red coats of medium size.
",0.05128205128205129
192,192," The store sells medium sized coats.
"," Medium sized coats are out of stock in the store.
",0.0
193,193," The customer will ask the storekeeper about the size of the coat she is looking for.
"," The listener stated if smaller sized coats are available.
",0.0
194,194," The storekeeper shows the customer a variety of coats in different sizes.
"," The listener stated if smaller sized coats are available.
",0.0
195,195," The store sells medium sized coats.
"," Short sized coats are in high demand among people.
",0.3333333333333333
196,196," The customer will look for a smaller size coat in the store.
"," The listener selects the blue coat and tries it on.
",0.0
197,197," The customer will look for a smaller size coat in the store.
"," The listener selects the blue coat and tries it on.
",0.0
198,198," The speaker is apologetic for not having a smaller size coat for the listener.
"," The speaker is apologetic as is unable to find a smaller sized coat for his customer.
",0.5555555555555555
199,199," The speaker is curious to try the coat on her.
"," The speaker is inquisitve to know if they can check it the wearable fits them.
",0.3333333333333333
200,200," The customer has paid for the coat.
"," The price of the coat is low for what the speaker paid for it.
",0.0
201,201," The customer pays for the coat and leaves the store.
"," The listener packed the coat and handed it over to the speaker.
",0.0
202,202," The customer pays for the coat and leaves the store.
"," The listener packed the coat and handed it over to the speaker.
",0.0
203,203," The speaker is happy to help the listener.
"," The speaker humbly offering help to the listener.
",1.0
204,204," The speaker is planning to visit west end.
"," The speaker is on leave to go to the west end.
",1.0
205,205," The listener asks the speaker about her plans for the west end.
"," The speaker further explains to the listener the places she wants to explore in the west end.
",0.04166666666666667
206,206," The speaker will book a taxi to reach the west end.
"," The speaker further explains to the listener the places she wants to explore in the west end.
",0.0
207,207," The listener asked the speaker what she would like to do with her time.
"," The speaker is to consult the trip advisor for ideas to arrange a one day trip.
",0.0
208,208," The speaker will visit museums, art galleries, and cinemas in the west end.
"," The listener stated how the speaker will be able to do everything in less time.
",0.0
209,209," The speaker shows her itinerary to the listener.
"," The listener stated how the speaker will be able to do everything in less time.
",0.0
210,210," The speaker is curious to know where she can go shopping first.
"," The speaker is curious to know the place to shop.
",1.0
211,211," The speaker is curious to know how she can reach the west end.
"," The speaker is keen to know the way to the shopping stop.
",0.5
212,212," The listener asked the speaker how she could reach the west end.
"," The listener is not aware of the modalities of the city.
",0.0
213,213," The speaker would ask the listener about the best way to reach the west end.
"," The speaker would tell the listener that she can go to hyde park on foot also.
",0.27941176470588236
214,214," The speaker would ask the listener about the best way to reach the west end.
"," The speaker would tell the listener that she can go to hyde park on foot also.
",0.27941176470588236
215,215," The listener has helped the speaker in finding the way to the west end.
"," The listener had helped the speaker in finding ways.
",0.5
216,216," The speaker will enjoy her trip to west end.
"," The listener exits the place and goes towards the hyde park.
",0.0
217,217," The speaker will enjoy her trip to west end.
"," The listener exits the place and goes towards the hyde park.
",0.0
218,218," The listener will enjoy her trip to west end.
"," The speaker makes his way to his office.
",0.0
219,219," The listener will enjoy her trip to west end.
"," The speaker makes his way to his office.
",0.0
220,220," The listener is happy to help the speaker.
"," The listener is pleased by the warm gesture of the speaker.
",0.0
221,221," The speaker is happy to help the listener.
"," The speaker humbly offers the listener all possible help.
",1.0
222,222," The speaker is curious to know the cost of sending books to new york.
"," The speaker is curious to know the cost of shipping books to new york.
",0.75
223,223," The speaker has to send the books to new york.
"," The listener asks if the speaker is looking for something else.
",0.0
224,224," The listener stamps the books and sends them to new york.
"," The listener stated whether she can pay through the card.
",0.0
225,225," The speaker pays the requisite amount for the books to be sent to new york.
"," The listener stated whether she can pay through the card.
",0.0
226,226," The speaker has to send the books to new york.
"," $22 includes ticket and courier charges.
",0.0
227,227," The speaker pays for the books to be sent to new york.
"," The speaker stated if the listener needs anything other than what he has bought.
",0.0
228,228," The speaker pays the requisite amount for the books to be sent to new york.
"," The speaker stated if the listener needs anything other than what he has bought.
",0.0
229,229," The listener has paid for the books to be sent to new york.
"," The bill amount was less than the amount paid by the listener.
",0.0
230,230," The listener packs the books for the speaker.
"," The listener takes the change and leaves.
",0.0
231,231," The listener packs the books for the speaker.
"," The listener takes the change and leaves.
",0.0
232,232," The speaker has to attend a business meeting in new york.
"," Mr. smith is planning some vacations to new york with his wife.
",0.0
233,233," The listener checks the availability of tickets to new york.
"," The listener asks mr. smith about the details of his trip to new york.
",0.25
234,234," The speaker will pay for the tickets to new york.
"," The listener asks mr. smith about the details of his trip to new york.
",0.5
235,235," The speaker is excited to travel to new york.
"," Mr. smith humbly appeals to the listener to get two tickets to new york.
",0.5
236,236," The speaker asked the listener when he would like to leave for new york.
"," Mr. smith asked for tickets to new york for the following saturday.
",0.3333333333333333
237,237," The speaker asked the listener about the availability of tickets for new york.
"," Mr. smith stated to the speaker to add the return journey to the existing ticket.
",0.0
238,238," The speaker shows the listener the remaining tickets to new york.
"," Mr. smith stated to the speaker to add the return journey to the existing ticket.
",0.0
239,239," The listener asked the speaker about the ticket price.
"," Mr. smith asked about the total cost to be paid for the ticket.
",0.07407407407407408
240,240," The speaker pays for the tickets and leaves the airport.
"," The speaker stated if the other mode of payment mr. smith would look for.
",0.0
241,241," The speaker pays for the tickets and leaves the hotel.
"," The speaker stated if the other mode of payment mr. smith would look for.
",0.0
242,242," The speaker has to attend a business meeting in new york.
"," Mr.smith is going to new york with his wife.
",0.0
243,243," The speaker will pay for the tickets to new york with his credit card.
"," The speaker takes the card and processes the payment.
",0.5
244,244," The speaker pays for the tickets with his credit card.
"," The speaker takes the card and processes the payment.
",0.5
245,245," The speaker is excited to travel to new york.
"," Mr. smith looks forward to moving to new york with his wife.
",0.5
246,246," The speaker is curious to know the name and passport number of the listener.
"," The speaker is politely asking for the passport and the name.
",0.6666666666666666
247,247," The speaker has a valid passport.
"," Mr. smith has both the passports at the time of booking the ticket.
",0.0
248,248," The listener notes down the name and passport number of the speaker.
"," The listener fills all the required details associated with mr. smith in the reservation form.
",0.0
249,249," The listener notes down the name and passport number of the speaker.
"," The listener fills all the required details associated with mr. smith in the reservation form.
",0.0
250,250," The listener is happy to help the speaker.
"," The listener is grateful to mr. smith for providing his phone number.
",0.0
251,251," The hotel staff wants to help the guest in checking in.
"," The speaker is requesting mr. kemp to check in to the room.
",0.0
252,252," Mr. kemp has checked into the hotel.
"," The speaker checks his record and allocates a room to mr. kemp.
",0.0
253,253," Mr. kemp fills the form and checks into his room.
"," Mr. kemp fills in the required information in the form and takes the key to the room.
",0.5333333333333333
254,254," Mr. kemp fills the form and checks into his room.
"," Mr. kemp fills in the required information in the form and takes the key to the room.
",0.5333333333333333
255,255," The speaker went to the doctor to get his fever checked.
"," The speaker got drenched in rain while returning home from his office a day earlier.
",0.0
256,256," The speaker will take the medicines prescribed by the doctor.
"," The listener tests the speaker's temperature.
",0.0
257,257," The doctor will advise the speaker to take some medicines.
"," The listener tests the speaker's temperature.
",0.0
258,258," The speaker is worried about his health.
"," The speaker is worried about his fever.
",0.75
259,259," The speaker will take the medicine prescribed by the doctor.
"," The doctor checks the body temperature and examines the patient.
",0.0
260,260," The doctor will advise the speaker to take some medicines to control the fever.
"," The doctor checks the body temperature and examines the patient.
",0.0
261,261," The listener is suffering from a fever since yesterday.
"," The listener got drenched in rain and is unwell since then.
",0.0
262,262," The listener will take the medicine prescribed by the doctor.
"," The speaker would tell the listener to take some precautions and avoid taking outside food.
",0.0
263,263," The listener will take the medicine prescribed by the doctor.
"," The speaker would tell the listener to take some precautions and avoid taking outside food.
",0.0
264,264," The doctor is concerned about the listener's health.
"," The speaker is concern about the health of the listener and wants to cure him.
",0.0
265,265," The listener is suffering from a fever since yesterday.
"," The listener's health condition becomes worst due to fever.
",0.6666666666666666
